ano;orgao;unidade;funcao;programa;acao;categoria;fonte;valor
2024;03-PROMORAR RECIFE;0301-PROMORAR RECIFE - GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - ADM. DIRETA;15-URBANISMO;1325-REQUALIFICAÇÃO E RESILIÊNCIA URBANA EM ÁREAS DE VULNERABILIDADE SOCIOAMBIENTAL;1028 - AMPLIAÇÃO E MELHORIA DA INFRAESTRUTURA URBANA;4-DESPESAS DE CAPITAL;754-RECURSOS DE OPERAÇÕES DE CRÉDITO;3000000,0
2024;08-GCR;0801-GCR - GABINETE DO CENTRO DO RECIFE - ADMINISTRAÇÃO DIRETA;4-ADMINISTRAÇÃO;2160-GESTÃO DAS POLÍTICAS MUNICIPAIS;2874 - COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS DO GABINETE DO CENTRO DO RECIFE;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;2780000,0
2024;08-GCR;0801-GCR - GABINETE DO CENTRO DO RECIFE - ADMINISTRAÇÃO DIRETA;4-ADMINISTRAÇÃO;2161-GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS;2723 - APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;1330000,0
2024;09-ASSRINST;0901-ASSRINST - ASSESSORIA ESPECIAL E REPRESENTAÇÃO INSTITUCIONAL - ADMINISTRAÇÃO DIRETA;4-ADMINISTRAÇÃO;2160-GESTÃO DAS POLÍTICAS MUNICIPAIS;2064 - ASSESSORAMENTO GOVERNAMENTAL;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;5500000,0
2024;09-ASSRINST;0901-ASSRINST - ASSESSORIA ESPECIAL E REPRESENTAÇÃO INSTITUCIONAL - ADMINISTRAÇÃO DIRETA;4-ADMINISTRAÇÃO;2161-GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS;2723 - APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;420000,0
2024;10-GAB. PREF.;1001-GAB. PREF. - GABINETE DO PREFEITO - ADMINISTRAÇÃO DIRETA;4-ADMINISTRAÇÃO;2160-GESTÃO DAS POLÍTICAS MUNICIPAIS;2064 - ASSESSORAMENTO GOVERNAMENTAL;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;8630000,0
2024;10-GAB. PREF.;1001-GAB. PREF. - GABINETE DO PREFEITO - ADMINISTRAÇÃO DIRETA;4-ADMINISTRAÇÃO;2161-GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS;2017 - GERENCIAMENTO DAS JUNTAS DE SERVIÇO MILITAR;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;10000,0
2024;10-GAB. PREF.;1001-GAB. PREF. - GABINETE DO PREFEITO - ADMINISTRAÇÃO DIRETA;4-ADMINISTRAÇÃO;2161-GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS;2723 - APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;1330000,0
2024;11-ESPORTES;1101-ESPORTES - SECRETARIA DE ESPORTES - ADMINISTRAÇÃO DIRETA;27-DESPORTO E LAZER;1226-PROMOÇÃO DE POLÍTICAS DE INCENTIVO AO ESPORTE E PRÁTICA DE EXERCÍCIO FÍSICO PARA PROMOÇÃO DA SAÚDE;2281 - MELHORIA E AMPLIAÇÃO DA REDE FÍSICA DE ESPORTE E REDE DE EXERCÍCIO FÍSICO NA SAÚDE;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;20000,0
2024;11-ESPORTES;1101-ESPORTES - SECRETARIA DE ESPORTES - ADMINISTRAÇÃO DIRETA;27-DESPORTO E LAZER;1226-PROMOÇÃO DE POLÍTICAS DE INCENTIVO AO ESPORTE E PRÁTICA DE EXERCÍCIO FÍSICO PARA PROMOÇÃO DA SAÚDE;2281 - MELHORIA E AMPLIAÇÃO DA REDE FÍSICA DE ESPORTE E REDE DE EXERCÍCIO FÍSICO NA SAÚDE;4-DESPESAS DE CAPITAL;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;800000,0
2024;11-ESPORTES;1101-ESPORTES - SECRETARIA DE ESPORTES - ADMINISTRAÇÃO DIRETA;27-DESPORTO E LAZER;1226-PROMOÇÃO DE POLÍTICAS DE INCENTIVO AO ESPORTE E PRÁTICA DE EXERCÍCIO FÍSICO PARA PROMOÇÃO DA SAÚDE;2529 - AMPLIAÇÃO, REFORMA E MELHORIA DAS INSTALAÇÕES E EQUIPAMENTOS DO GINÁSIO DE ESPORTES GERALDO MAGALHÃES - GERALDÃO;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;75000,0
2024;11-ESPORTES;1101-ESPORTES - SECRETARIA DE ESPORTES - ADMINISTRAÇÃO DIRETA;27-DESPORTO E LAZER;1226-PROMOÇÃO DE POLÍTICAS DE INCENTIVO AO ESPORTE E PRÁTICA DE EXERCÍCIO FÍSICO PARA PROMOÇÃO DA SAÚDE;2863 - INCENTIVO AO ESPORTE NO RECIFE;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;15940000,0
2024;11-ESPORTES;1101-ESPORTES - SECRETARIA DE ESPORTES - ADMINISTRAÇÃO DIRETA;27-DESPORTO E LAZER;2160-GESTÃO DAS POLÍTICAS MUNICIPAIS;2028 - COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DA POLÍTICA DE ESPORTES;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;4875000,0
2024;11-ESPORTES;1101-ESPORTES - SECRETARIA DE ESPORTES - ADMINISTRAÇÃO DIRETA;27-DESPORTO E LAZER;2161-GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS;2723 - APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;5050000,0
2024;11-ESPORTES;1101-ESPORTES - SECRETARIA DE ESPORTES - ADMINISTRAÇÃO DIRETA;27-DESPORTO E LAZER;1226-PROMOÇÃO DE POLÍTICAS DE INCENTIVO AO ESPORTE E PRÁTICA DE EXERCÍCIO FÍSICO PARA PROMOÇÃO DA SAÚDE;2281 - MELHORIA E AMPLIAÇÃO DA REDE FÍSICA DE ESPORTE E REDE DE EXERCÍCIO FÍSICO NA SAÚDE;4-DESPESAS DE CAPITAL;706-TRANSFERÊNCIA ESPECIAL DA UNIÃO;516000,0
2024;12-GAB. VICE PREF.;1201-GAB. VICE PREF. - GABINETE DA VICE-PREFEITA - ADMINISTRAÇÃO DIRETA;4-ADMINISTRAÇÃO;2160-GESTÃO DAS POLÍTICAS MUNICIPAIS;2064 - ASSESSORAMENTO GOVERNAMENTAL;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;3310000,0
2024;12-GAB. VICE PREF.;1201-GAB. VICE PREF. - GABINETE DA VICE-PREFEITA - ADMINISTRAÇÃO DIRETA;4-ADMINISTRAÇÃO;2161-GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS;2723 - APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;520000,0
2024;13-PGM;1301-PGM - PROCURADORIA GERAL DO MUNICÍPIO - ADMINISTRAÇÃO DIRETA;3-ESSENCIAL À JUSTIÇA;1222-PROMOÇÃO DOS DIREITOS HUMANOS, CIDADANIA E IGUALDADE ÉTNICO-RACIAL;2031 - MODERNIZAÇÃO E MANUTENÇÃO DO SERVIÇO DE DEFESA DO CONSUMIDOR DO MUNICÍPIO;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;10000,0
2024;13-PGM;1301-PGM - PROCURADORIA GERAL DO MUNICÍPIO - ADMINISTRAÇÃO DIRETA;3-ESSENCIAL À JUSTIÇA;2160-GESTÃO DAS POLÍTICAS MUNICIPAIS;2030 - COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS MUNICIPAIS DA PROCURADORIA GERAL DO MUNICÍPIO;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;45015000,0
2024;13-PGM;1301-PGM - PROCURADORIA GERAL DO MUNICÍPIO - ADMINISTRAÇÃO DIRETA;3-ESSENCIAL À JUSTIÇA;2161-GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS;2723 - APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;4770000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1206-ORGANIZAÇÃO EFICAZ DO ENSINO E DA APRENDIZAGEM;2101 - IMPLANTAÇÃO DE POLÍTICAS DE VALORIZAÇÃO E FORMAÇÃO CONTINUADA DOS PROFISSIONAIS DA EDUCAÇÃO;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;4025000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1206-ORGANIZAÇÃO EFICAZ DO ENSINO E DA APRENDIZAGEM;2125 - IMPLANTAÇÃO E MANUTENÇÃO DO QUADRO TECNOLÓGICO NAS UNIDADES EDUCACIONAIS;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;17500000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1206-ORGANIZAÇÃO EFICAZ DO ENSINO E DA APRENDIZAGEM;2125 - IMPLANTAÇÃO E MANUTENÇÃO DO QUADRO TECNOLÓGICO NAS UNIDADES EDUCACIONAIS;4-DESPESAS DE CAPITAL;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;1000000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1206-ORGANIZAÇÃO EFICAZ DO ENSINO E DA APRENDIZAGEM;2182 - Implementação de Mecanismos de Inclusão Esc. para Estudantes com Deficiências e/ou Doenças Raras.;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;1110000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1206-ORGANIZAÇÃO EFICAZ DO ENSINO E DA APRENDIZAGEM;2183 - REALIZAÇÃO DE POLÍTICAS DE INCENTIVO À FORMAÇÃO DE JOVENS PARA A CIDADANIA E O TRABALHO;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;22250000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1207-SUPORTE E APOIO EFETIVOS PARA UMA EDUCAÇÃO DE QUALIDADE E ACESSÍVEL;1043 - EXPANSÃO DA REDE FÍSICA DO ENSINO FUNDAMENTAL;4-DESPESAS DE CAPITAL;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;35000000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1207-SUPORTE E APOIO EFETIVOS PARA UMA EDUCAÇÃO DE QUALIDADE E ACESSÍVEL;2127 - ALIMENTAÇÃO ESCOLAR;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;55000000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1207-SUPORTE E APOIO EFETIVOS PARA UMA EDUCAÇÃO DE QUALIDADE E ACESSÍVEL;2131 - ADEQUAÇÃO E MANUTENÇÃO FÍSICA DA REDE MUNICIPAL DE ENSINO;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;63000000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1214-APOIO SOCIAL A ESTUDANTES DA REDE MUNICIPAL DE ENSINO;2107 - DESENVOLVIMENTO DE PROGRAMAS SUPLEMENTARES PARA O ENSINO NA REDE MUNICIPAL;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;12380000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1247-PROMOÇÃO E FORTALECIMENTO DA POLÍTICA DA PRIMEIRA INFÂNCIA;1036 - EXPANSÃO DA REDE FÍSICA DO ENSINO INFANTIL;4-DESPESAS DE CAPITAL;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;32000000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1247-PROMOÇÃO E FORTALECIMENTO DA POLÍTICA DA PRIMEIRA INFÂNCIA;2113 - APOIO À PRIMEIRA INFÂNCIA;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;500000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1247-PROMOÇÃO E FORTALECIMENTO DA POLÍTICA DA PRIMEIRA INFÂNCIA;2115 - IMPLANTAÇÃO E MANUTENÇÃO DO QUADRO TECNOLÓGICO NA EDUCAÇÃO INFANTIL;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;10000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1247-PROMOÇÃO E FORTALECIMENTO DA POLÍTICA DA PRIMEIRA INFÂNCIA;2179 - AMPLIAÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO INFANTIL;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;88860000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1249-AMPLIAÇÃO E GESTÃO DA REDE DE ENSINO FUNDAMENTAL;2178 - UNIVERSALIZAÇÃO E QUALIFICAÇÃO DO ENSINO FUNDAMENTAL;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;218990000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1249-AMPLIAÇÃO E GESTÃO DA REDE DE ENSINO FUNDAMENTAL;2178 - UNIVERSALIZAÇÃO E QUALIFICAÇÃO DO ENSINO FUNDAMENTAL;4-DESPESAS DE CAPITAL;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;100000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1249-AMPLIAÇÃO E GESTÃO DA REDE DE ENSINO FUNDAMENTAL;2315 - IMPLANTAÇÃO DE POLÍTICAS DE VALORIZAÇÃO E FORMAÇÃO CONTINUADA NO ENSINO FUNDAMENTAL;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;100000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1249-AMPLIAÇÃO E GESTÃO DA REDE DE ENSINO FUNDAMENTAL;2316 - IMPLANTAÇÃO E MANUTENÇÃO DO QUADRO TECNOLÓGICO NO ENSINO FUNDAMENTAL;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;10000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;2110-GESTÃO DAS POLÍTICAS MUNICIPAIS DE EDUCAÇÃO;2035 - COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS DE EDUCAÇÃO;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;125300000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;2167-GESTÃO ADMINISTRATIVA DO SETOR EDUCACIONAL;2036 - APOIO ADMINISTRATIVO ÀS AÇÕES DE EDUCAÇÃO DA REDE MUNICIPAL DE ENSINO;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;58500000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;2167-GESTÃO ADMINISTRATIVA DO SETOR EDUCACIONAL;2036 - APOIO ADMINISTRATIVO ÀS AÇÕES DE EDUCAÇÃO DA REDE MUNICIPAL DE ENSINO;4-DESPESAS DE CAPITAL;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;500000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;3103-GESTÃO DOS ENCARGOS GERAIS DO SETOR EDUCACIONAL;2149 - ENCARGOS COM BENEFÍCIOS AOS SERVIDORES DO SETOR EDUCACIONAL;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;9000000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;3103-GESTÃO DOS ENCARGOS GERAIS DO SETOR EDUCACIONAL;9021 - ENCARGOS COM A PREVIDÊNCIA SOCIAL DOS SERVIDORES - REGIME PRÓPRIO;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;15000000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;3103-GESTÃO DOS ENCARGOS GERAIS DO SETOR EDUCACIONAL;9022 - ENCARGOS COM A PREVIDÊNCIA SOCIAL DOS SERVIDORES - REGIME GERAL;3-DESPESAS CORRENTES;500-RECURSOS NÃO VINCULADOS DE IMPOSTOS;25000000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1207-SUPORTE E APOIO EFETIVOS PARA UMA EDUCAÇÃO DE QUALIDADE E ACESSÍVEL;1043 - EXPANSÃO DA REDE FÍSICA DO ENSINO FUNDAMENTAL;4-DESPESAS DE CAPITAL;570-TRANSF. GOV. FEDERAL-CONV. E INSTRUM. CONGÊNERES-EDUC.;2000000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1247-PROMOÇÃO E FORTALECIMENTO DA POLÍTICA DA PRIMEIRA INFÂNCIA;1036 - EXPANSÃO DA REDE FÍSICA DO ENSINO INFANTIL;4-DESPESAS DE CAPITAL;570-TRANSF. GOV. FEDERAL-CONV. E INSTRUM. CONGÊNERES-EDUC.;500000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1207-SUPORTE E APOIO EFETIVOS PARA UMA EDUCAÇÃO DE QUALIDADE E ACESSÍVEL;1043 - EXPANSÃO DA REDE FÍSICA DO ENSINO FUNDAMENTAL;4-DESPESAS DE CAPITAL;754-RECURSOS DE OPERAÇÕES DE CRÉDITO;200000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1206-ORGANIZAÇÃO EFICAZ DO ENSINO E DA APRENDIZAGEM;2183 - REALIZAÇÃO DE POLÍTICAS DE INCENTIVO À FORMAÇÃO DE JOVENS PARA A CIDADANIA E O TRABALHO;3-DESPESAS CORRENTES;569-OUTRAS TRANSFERÊNCIAS DE RECURSOS DO FNDE;910000,0
2024;14-SEDUC;1401-SEDUC - SECRETARIA DE EDUCAÇÃO - ADMINISTRAÇÃO DIRETA;12-EDUCAÇÃO;1207-SUPORTE E APOIO EFETIVOS PARA UMA EDUCAÇÃO DE QUALIDADE E ACESSÍVEL;2127 - ALIMENTAÇÃO ESCOLAR;3-DESPESAS CORRENTES;551-TRANSF. DE RECURSOS DO FNDE REFERENTES AO PDDE;1322000,0
