Ano;Esfera;Esfera_descrição;Órgão;Órgão_descrição;UO;UO_descrição;Função;Função_descrição;Subfunção;Subfunção_descrição;Programa;Programa_descrição;Ação;Ação_título;Produto_ação_descrição;Unidade_medida_ação_símbolo;Unidade_medida_ação_descrição;Localizador;Localizador_subtítulo;Região;Região_descrição;UF;UF_descrição;Município;Município_descrição;Recorte_geográfico;Liquidado_regionalização;Realizado_regionalização;Houve regionalização?;Justificativa do Órgão Gestor
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4224;4224 - Assistência Jurídica a Pessoas Carentes;Pessoa assistida;unidade;unidade;0001;0001 - Nacional;SL;Região Sul;ND;Não definido;ND;Não definido;4ª Região da Justiça Federal - PR, RS, SC;9.729.327,06;28.577;Sim;Na execução de restos a pagar de 2023 do localizador, não há contrapartida física correspondente à execução financeira, tendo em vista que a meta já foi integralmente contabilizada no exercício de 2022.
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4257;4257 - Julgamento de Causas na Justiça Federal;Processo julgado;unidade;unidade;0001;0001 - Nacional;CO;Região Centro-Oeste;DF;Distrito Federal;5300108;Brasília;Não Definido;71.442.234,56;26.051;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4257;4257 - Julgamento de Causas na Justiça Federal;Processo julgado;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;1ª Região da Justiça Federal - AC, AM, AP, BA, DF, GO, MA, MT, PA, PI, RO, RR, TO;221.812.363,79;1.176.254;Sim;"SJPI - Apesar da redução do número de servidores, decorrente principalmente de aposentadorias não repostas, a descentralização de recursos e a utilização de ferramentas alternativas (robôs, informática, etc), permitiram que a meta fosse atingida.
SJRR - A SJRR Atingiu suas metas por meio de um trabalho constante de gestão de pessoal e material. A gestão material, realizada por meio de planejamento, licitações, contratações ordinárias ou continuadas, afetou positivamente a prestação jurisdicional; sendo prejudicada, em alguns momentos, pela descontinuidade dos serviços de internet. Na Gestão de Pessoal, embora a Seccional tenha atingido a meta no Julgamento de Causas,  licenças por motivo de doença prejudicaram uma de nossas Unidades.
SJBA - A SJBA buscou implementar as gestões por projeto, processos e riscos, buscando criar soluções para automatizar os procedimentos das unidades, de modo a uniformizar rotinas, otimizar o tempo, priorizar os processos críticos, reduzir gargalos e custos, bem como implementar sistemas de apoio que deem celeridade à prestação jurisdicional. Para tanto, tem-se utilizado da análise de painéis de BI  e aplicativos elaborados de acordo com as necessidades da Administração.
SJAM - O teletrabalho ainda impacta na redução das despesas como energia, água, água mineral e telefonia. Um melhor acompanhamento  desses contratos poderia direcionar a utilização dessas sobras orçamentarias para a execução de outras despesas."
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4257;4257 - Julgamento de Causas na Justiça Federal;Processo julgado;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;3ª Região da Justiça Federal - MS, SP;194.683.740,27;945.126;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4257;4257 - Julgamento de Causas na Justiça Federal;Processo julgado;unidade;unidade;0001;0001 - Nacional;NE;Região Nordeste;ND;Não definido;ND;Não definido;5ª Região da Justiça Federal - AL, CE, PB, PE, RN, SE;160.388.693,59;736.564;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4257;4257 - Julgamento de Causas na Justiça Federal;Processo julgado;unidade;unidade;0001;0001 - Nacional;SD;Região Sudeste;MG;Minas Gerais;ND;Não definido;6ª Região da Justiça Federal - MG;68.679.794,08;365.729;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4257;4257 - Julgamento de Causas na Justiça Federal;Processo julgado;unidade;unidade;0001;0001 - Nacional;SD;Região Sudeste;ND;Não definido;ND;Não definido;2ª Região da Justiça Federal - ES, RJ;106.371.425,63;432.619;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4257;4257 - Julgamento de Causas na Justiça Federal;Processo julgado;unidade;unidade;0001;0001 - Nacional;SL;Região Sul;ND;Não definido;ND;Não definido;4ª Região da Justiça Federal - PR, RS, SC;153.446.169,98;803.628;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;216H;216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos;Agente público beneficiado;unidade;unidade;0001;0001 - Nacional;CO;Região Centro-Oeste;DF;Distrito Federal;5300108;Brasília;Não Definido;76.718,52;3;Sim;Execução realizada pelo CJF.
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;216H;216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos;Agente público beneficiado;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;1ª Região da Justiça Federal - AC, AM, AP, BA, DF, GO, MA, MT, PA, PI, RO, RR, TO;1.945.676,00;50;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;216H;216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos;Agente público beneficiado;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;3ª Região da Justiça Federal - MS, SP;228.374,56;9;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;216H;216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos;Agente público beneficiado;unidade;unidade;0001;0001 - Nacional;NE;Região Nordeste;ND;Não definido;ND;Não definido;5ª Região da Justiça Federal - AL, CE, PB, PE, RN, SE;1.129.306,57;42;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;216H;216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos;Agente público beneficiado;unidade;unidade;0001;0001 - Nacional;SD;Região Sudeste;MG;Minas Gerais;ND;Não definido;6ª Região da Justiça Federal - MG;1.102.675,82;29;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;216H;216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos;Agente público beneficiado;unidade;unidade;0001;0001 - Nacional;SD;Região Sudeste;ND;Não definido;ND;Não definido;2ª Região da Justiça Federal - ES, RJ;537.923,11;33;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;216H;216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos;Agente público beneficiado;unidade;unidade;0001;0001 - Nacional;SL;Região Sul;ND;Não definido;ND;Não definido;4ª Região da Justiça Federal - PR, RS, SC;1.074.214,79;50;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;219Z;219Z - Conservação e Recuperação de Ativos de Infraestrutura da União;Infraestrutura mantida;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;1ª Região da Justiça Federal - AC, AM, AP, BA, DF, GO, MA, MT, PA, PI, RO, RR, TO;1.075.767,61;3;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;219Z;219Z - Conservação e Recuperação de Ativos de Infraestrutura da União;Infraestrutura mantida;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;3ª Região da Justiça Federal - MS, SP;468.639,55;4;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;219Z;219Z - Conservação e Recuperação de Ativos de Infraestrutura da União;Infraestrutura mantida;unidade;unidade;0001;0001 - Nacional;NE;Região Nordeste;ND;Não definido;ND;Não definido;5ª Região da Justiça Federal - AL, CE, PB, PE, RN, SE;430.397,92;4;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;219Z;219Z - Conservação e Recuperação de Ativos de Infraestrutura da União;Infraestrutura mantida;unidade;unidade;0001;0001 - Nacional;SD;Região Sudeste;MG;Minas Gerais;ND;Não definido;6ª Região da Justiça Federal - MG;411.331,44;2;Sim;"Processo de reforma: 0004337-76.2023.4.06.8001 (Juiz de Fora)
Processo apoio à fiscalização: 0050214-27.2021.4.01.8008(Juiz de Fora)
Contratações de reformas em andamento, dispensa de fiscalização em andamento. Previsão de início dos serviços em 2024 (Juiz de Fora)
Processo Reforma: 0006216-55.2022.4.06.8001 (Uberlândia)
Processo Fiscalização: 0006220-92.2022.4.06.8001 (Uberlândia)"
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;219Z;219Z - Conservação e Recuperação de Ativos de Infraestrutura da União;Infraestrutura mantida;unidade;unidade;0001;0001 - Nacional;SD;Região Sudeste;ND;Não definido;ND;Não definido;2ª Região da Justiça Federal - ES, RJ;400.246,99;1;Sim;registra-se que a meta associada de 01 instalação a ser modernizada referente à SJRJ (execução do sistema de incêncio na subseção Judiciária de Três Rios) foi realizada ainda dentro da ação Julgamento de Causas, não sendo contabilizada na ação 219Z (Nacional).
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;219Z;219Z - Conservação e Recuperação de Ativos de Infraestrutura da União;Infraestrutura mantida;unidade;unidade;0001;0001 - Nacional;SL;Região Sul;ND;Não definido;ND;Não definido;4ª Região da Justiça Federal - PR, RS, SC;722.597,46;0;Sim;Na informação relativa a 4ª Regição, os valores programados destinam-se à complementação de obras de modernização iniciadas em 2022 de forma que as metas físicas já foram contabilizadas no exercício de 2022.
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;131;131 - Comunicação Social;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;219I;219I - Publicidade Institucional e de Utilidade Pública;Conteúdo divulgado;unidade;unidade;0001;0001 - Nacional;CO;Região Centro-Oeste;DF;Distrito Federal;5300108;Brasília;Não Definido;1.693.846,51;4.532;Sim;Execução referente ao Conselho da Justiça Federal.
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;131;131 - Comunicação Social;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;219I;219I - Publicidade Institucional e de Utilidade Pública;Conteúdo divulgado;unidade;unidade;0001;0001 - Nacional;NE;Região Nordeste;ND;Não definido;ND;Não definido;5ª Região da Justiça Federal - AL, CE, PB, PE, RN, SE;253.110,06;7.605;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;331;331 - Proteção e Benefícios ao Trabalhador;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;212B;212B - Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes;--------------------;--------------------;--------------------;0001;0001 - Nacional;CO;Região Centro-Oeste;DF;Distrito Federal;5300108;Brasília;Não Definido;3.656.134,20;0;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;331;331 - Proteção e Benefícios ao Trabalhador;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;212B;212B - Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes;--------------------;--------------------;--------------------;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;1ª Região da Justiça Federal - AC, AM, AP, BA, DF, GO, MA, MG, MT, PA, PI, RO, RR, TO;93.249.145,61;0;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;331;331 - Proteção e Benefícios ao Trabalhador;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;212B;212B - Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes;--------------------;--------------------;--------------------;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;3ª Região da Justiça Federal - MS, SP;75.012.675,50;0;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;331;331 - Proteção e Benefícios ao Trabalhador;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;212B;212B - Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes;--------------------;--------------------;--------------------;0001;0001 - Nacional;NE;Região Nordeste;ND;Não definido;ND;Não definido;5ª Região da Justiça Federal - AL, CE, PB, PE, RN, SE;59.633.385,58;0;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;331;331 - Proteção e Benefícios ao Trabalhador;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;212B;212B - Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes;--------------------;--------------------;--------------------;0001;0001 - Nacional;SD;Região Sudeste;MG;Minas Gerais;ND;Não definido;6ª Região da Justiça Federal - MG;28.731.828,89;0;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;331;331 - Proteção e Benefícios ao Trabalhador;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;212B;212B - Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes;--------------------;--------------------;--------------------;0001;0001 - Nacional;SD;Região Sudeste;ND;Não definido;ND;Não definido;2ª Região da Justiça Federal - ES, RJ;60.314.968,16;0;Sim;
2023;10;10 - Orçamento Fiscal;12000;12000 - Justiça Federal;12101;12101 - Justiça Federal de Primeiro Grau;02;02 - Judiciária;331;331 - Proteção e Benefícios ao Trabalhador;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;212B;212B - Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes;--------------------;--------------------;--------------------;0001;0001 - Nacional;SL;Região Sul;ND;Não definido;ND;Não definido;4ª Região da Justiça Federal - PR, RS, SC;74.739.197,63;0;Sim;
2023;10;10 - Orçamento Fiscal;13000;13000 - Justiça Militar da União;13101;13101 - Justiça Militar da União;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4225;4225 - Processamento de Causas e Gestão Administrativa na Justiça Militar da União;Processo julgado;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;Não Definido;91.720.818,78;5.561;Não;
2023;10;10 - Orçamento Fiscal;13000;13000 - Justiça Militar da União;13101;13101 - Justiça Militar da União;02;02 - Judiciária;122;122 - Administração Geral;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;216H;216H - Ajuda de Custo para Moradia ou Auxílio-Moradia a Agentes Públicos;Agente público beneficiado;unidade;unidade;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;Não Definido;173.465,50;5;Não;
2023;10;10 - Orçamento Fiscal;13000;13000 - Justiça Militar da União;13101;13101 - Justiça Militar da União;02;02 - Judiciária;331;331 - Proteção e Benefícios ao Trabalhador;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;212B;212B - Benefícios Obrigatórios aos Servidores Civis, Empregados, Militares e seus Dependentes;--------------------;--------------------;--------------------;0001;0001 - Nacional;NA;Nacional;ND;Não definido;ND;Não definido;Não Definido;18.972.665,57;1.405;Não;
2023;10;10 - Orçamento Fiscal;14000;14000 - Justiça Eleitoral;14101;14101 - Tribunal Superior Eleitoral;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4269;4269 - Pleitos Eleitorais;Eleição realizada;unidade;unidade;0001;0001 - Nacional;CO;Região Centro-Oeste;DF;Distrito Federal;ND;Não definido;Não Definido;37.885.993,00;0;Sim;A execução da despesa está concentrada do Distrito Federal e o beneficiário da ação abrange toda a população brasileira
2023;10;10 - Orçamento Fiscal;14000;14000 - Justiça Eleitoral;14101;14101 - Tribunal Superior Eleitoral;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4269;4269 - Pleitos Eleitorais;Eleição realizada;unidade;unidade;0001;0001 - Nacional;CO;Região Centro-Oeste;DF;Distrito Federal;ND;Não definido;Não Definido;74.486,60;0;Sim;Despesa executada pelo TRE-DF
2023;10;10 - Orçamento Fiscal;14000;14000 - Justiça Eleitoral;14101;14101 - Tribunal Superior Eleitoral;02;02 - Judiciária;061;061 - Ação Judiciária;0033;0033 - Programa de Gestão e Manutenção do Poder Judiciário;4269;4269 - Pleitos Eleitorais;Eleição realizada;unidade;unidade;0001;0001 - Nacional;CO;Região Centro-Oeste;GO;Goiás;ND;Não definido;Não Definido;497.415,43;4;Sim;
